visitorId,visitChannel,visitDate,visitId,country,city,pageviews,transactions,timeOnSite,totalTransactionRevenue,sessionQualityDim,hitsTime,hitsType,productCategory,productName,productSKU,productPrice,productQuantity,productRevenue,productVariant,productRefundAmount,currencyCode,transactionId,transactionRevenue,itemQuantity,itemRevenue,pageTitle,pageSearchKeyword,pagePathLevel1,eCommerceActionType,eCommerceActionStep,eCommerceActionOption
2705841164751062361,Organic Search,20161221,1482335273,United States,San Francisco,1,,,,,0,PAGE,Home/Accessories/,Google Laptop and Cell Phone Stickers,GGOEGFKQ020399,1990000,,,(not set),,USD,,,,,Accessories | Google Merchandise Store,,/google+redesign/,0,1,
736527803194701626,Organic Search,20161221,1482312721,India,Bengaluru,1,,,,,0,PAGE,Home/Shop by Brand/YouTube/,YouTube Men's Long Sleeve Pullover Badge Tee Heather,GGOEGAAX0335,34990000,,,(not set),,USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
8035677121410726945,Organic Search,20161221,1482348454,Germany,not available in demo dataset,1,,,,,0,PAGE,Home/Shop by Brand/YouTube/,YouTube Men's Vintage Tee,GGOEGAAX0346,18990000,,,(not set),,USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
78208454946457238,Referral,20161221,1482356402,United States,Mountain View,3,,43,,,34914,PAGE,Home/Shop by Brand/Google/,Google Men's Watershed Full Zip Hoodie Grey,GGOEGAAX0568,109990000,,,(not set),,USD,,,,,Google | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
055227316656256053,Referral,20161221,1482375057,Japan,Minato,4,,28,,,8605,PAGE,Home/Shop by Brand/YouTube/,YouTube Men's Short Sleeve Hero Tee Charcoal,GGOEGAAX0325,18990000,,,(not set),,USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
5093723751286764727,Organic Search,20161221,1482345098,United States,Mountain View,8,,1731,,,1730992,PAGE,Home/Drinkware/,20 oz Stainless Steel Insulated Tumbler,GGOEGDHQ014899,24990000,,,(not set),,USD,,,,,Drinkware | Google Merchandise Store,,/google+redesign/,0,1,
3425946469477947952,Direct,20161221,1482379453,United States,not available in demo dataset,11,,298,,,152555,PAGE,Home/Apparel/Men's/Men's-Outerwear/,Android Men's  Zip Hoodie,GGOEGAAX0359,55990000,,,(not set),,USD,,,,,Men's Outerwear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
6105055728379886860,Organic Search,20161221,1482330859,United States,not available in demo dataset,30,,524,,,60799,PAGE,(not set),YouTube Trucker Hat,GGOEYHPA003510,21990000,,,(not set),,USD,,,,,Store search results,,/asearch.html,0,1,
0839010978249312837,Organic Search,20170704,1499204206,Spain,not available in demo dataset,3,,63,,1,0,PAGE,Home/Shop by Brand/Android/,Android Spiral Journal with Pen,GGOEAOCH077899,9990000,,,(not set),,USD,,,,,Android | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
4831311379065726635,Organic Search,20170704,1499187274,United Arab Emirates,not available in demo dataset,3,,61,,1,0,PAGE,Home/Shop by Brand/YouTube/,YouTube Hard Cover Journal,GGOEYOCR077799,14990000,,,(not set),,USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
0321003510077101450,Paid Search,20170704,1499197798,United States,not available in demo dataset,3,,36,,1,35740,PAGE,Home/Shop by Brand/Android/,Android Luggage Tag,GGOEAOBH078799,8990000,,,(not set),,USD,,,,,Android | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
3853170538708597458,Organic Search,20170704,1499204531,United States,Los Angeles,5,,104,,1,69980,PAGE,Home/Bags/,Google Rucksack,GGOEGBRJ037399,69990000,,,(not set),,USD,,,,,Bags | Google Merchandise Store,,/google+redesign/,0,1,
7913456418311678990,Direct,20170704,1499211081,United States,New York,8,,593,,3,491911,PAGE,Home/Apparel/Men's/,Android Men's Vintage Henley,GGOEGAAX0352,29990000,,,(not set),,USD,,,,,Men's Apparel | Google Merchandise Store,,/google+redesign/,0,1,
3516735927631628861,Organic Search,20170704,1499221623,United States,San Jose,18,,400,,50,109534,EVENT,Home/Apparel/Kid's/Kids-Youth/,Android Youth Short Sleeve T-shirt Aqua,GGOEGAAX0687,18990000,,,(not set),,,,,,,Youth | Kids' Apparel | Google Merchandise Store,,/google+redesign/,1,1,
5512732453464813953,Organic Search,20161019,1476914276,United Kingdom,London,23,,1730,,,1656211,PAGE,Home/Office/,Rubber Grip Ballpoint Pen 4 Pack,GGOEGOAA017199,4990000,,,(not set),,USD,,,,,Office | Google Merchandise Store,,/google+redesign/,0,1,
3000185053880442482,Direct,20161019,1476865245,Bulgaria,Sofia,9,,258,,,31172,PAGE,Home/Bags/,Google Slim Utility Travel Bag,GGOEGBPB021199,14990000,,,(not set),,USD,,,,,Bags | Google Merchandise Store,,/google+redesign/,0,1,
1296040971909788654,Organic Search,20161019,1476892689,United States,not available in demo dataset,15,,215,,,119546,EVENT,Home/Apparel/Headgear/,Google Snapback Hat Black,GGOEGHPB003410,22990000,,,(not set),,,,,,,Headgear | Apparel | Google Merchandise Store,,/google+redesign/,1,1,
8606384280469091965,Direct,20161019,1476896942,Guatemala,Guatemala City,35,,1005,,,23724,PAGE,Home/Apparel/Men's/Men's-Performance Wear/,Google Men's Performance Hero Tee Gunmetal,GGOEGAAX0730,21990000,,,(not set),,USD,,,,,Men's Performance Wear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
6409255516320725666,Direct,20161019,1476929942,United States,not available in demo dataset,4,,81,,,81306,PAGE,Home/Shop by Brand/Google/,Google Men's Watershed Full Zip Hoodie Grey,GGOEGAAX0568,109990000,,,(not set),,USD,,,,,Google | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
6584727074945530394,Social,20161019,1476917909,United States,New York,6,,318,,,101593,PAGE,Home/Apparel/,YouTube Trucker Hat,GGOEYHPA003510,21990000,,,(not set),,USD,,,,,Apparel | Google Merchandise Store,,/store.html,0,1,
0148464822494485935,Referral,20161019,1476908695,United States,Mountain View,11,,188,,,39030,PAGE,Home/Shop by Brand/Google/,Google Women's Short Sleeve Shirt Blue,GGOEGAAX0291,15190000,,,(not set),,USD,,,,,Google | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
0126903409267501452,Referral,20161019,1476908560,United States,not available in demo dataset,14,,366,,,156912,PAGE,Home/Apparel/Men's/Men's-Outerwear/,Google Men's Convertible Vest-Jacket Pewter,GGOEGAAX0598,98990000,,,(not set),,USD,,,,,Men's Outerwear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
1352920443193533813,Referral,20161019,1476878393,Japan,not available in demo dataset,15,,274,,,160907,PAGE,Home/Apparel/Headgear/,YouTube Trucker Hat,GGOEYHPA003510,21990000,,,(not set),,USD,,,,,Headgear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
2963120134884980133,Direct,20161019,1476924791,United States,Santa Clara,17,,202,,,182878,PAGE,Home/Accessories/Stickers/,Google Doodle Decal,GGOEGFKQ020799,3500000,,,(not set),,USD,,,,,Stickers | Accessories | Google Merchandise Store,,/google+redesign/,0,1,
5196174210835809409,Referral,20161019,1476896191,United States,San Francisco,2,,23,,,22523,PAGE,Home/Electronics/,Compact Bluetooth Speaker,GGOEGEVJ023999,79990000,,,(not set),,USD,,,,,Electronics | Google Merchandise Store,,/google+redesign/,0,1,
9902727920144439807,Organic Search,20160911,1473618755,United States,not available in demo dataset,1,,,,,0,PAGE,Home/Drinkware/,22 oz Android Bottle,GGOEADHH055999,2990000,,,(not set),,USD,,,,,Drinkware,,/google+redesign/,0,1,
315017261115039181,Direct,20160911,1473615944,United States,New York,1,,,,,0,PAGE,Home/Electronics/,Rocket Flashlight,GGOEGESC014099,4990000,,,(not set),,USD,,,,,Electronics,,/google+redesign/,0,1,
1464234962536381746,Referral,20160911,1473607942,United States,New York,3,,65,,,65351,PAGE,Home/Lifestyle/,Crunch-It Dog Toy,GGOEGPJC203399,3990000,,,(not set),,USD,,,,,Lifestyle,,/google+redesign/,0,1,
